================ Training Loss (Sun Jun 21 14:58:58 2026) ================
[Rank 0] (epoch: 24, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.896, G_L1: 2.275, D_real: 0.583, D_fake: 0.735

[Rank 0] (epoch: 24, iters: 600, time: 0.003, data: 0.003) , G_GAN: 0.682, G_L1: 2.159, D_real: 0.861, D_fake: 0.638

[Rank 0] (epoch: 24, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.869, G_L1: 2.544, D_real: 0.644, D_fake: 0.686

[Rank 0] (epoch: 24, iters: 1000, time: 0.016, data: 0.002) , G_GAN: 1.279, G_L1: 3.073, D_real: 0.167, D_fake: 0.767

[Rank 0] (epoch: 25, iters: 200, time: 0.003, data: 0.440) , G_GAN: 0.652, G_L1: 2.078, D_real: 0.663, D_fake: 0.737

[Rank 0] (epoch: 25, iters: 400, time: 0.018, data: 0.001) , G_GAN: 0.913, G_L1: 2.615, D_real: 1.275, D_fake: 0.399

[Rank 0] (epoch: 25, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.715, G_L1: 2.803, D_real: 0.654, D_fake: 0.664

[Rank 0] (epoch: 25, iters: 800, time: 0.004, data: 0.003) , G_GAN: 0.867, G_L1: 2.638, D_real: 0.898, D_fake: 0.612

[Rank 0] (epoch: 25, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.898, G_L1: 3.111, D_real: 0.640, D_fake: 0.630

[Rank 0] (epoch: 26, iters: 200, time: 0.099, data: 0.449) , G_GAN: 0.797, G_L1: 2.084, D_real: 0.529, D_fake: 0.659

[Rank 0] (epoch: 26, iters: 400, time: 0.003, data: 0.004) , G_GAN: 0.617, G_L1: 2.456, D_real: 0.654, D_fake: 1.025

[Rank 0] (epoch: 26, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.879, G_L1: 2.335, D_real: 0.748, D_fake: 0.592

[Rank 0] (epoch: 26, iters: 800, time: 0.004, data: 0.003) , G_GAN: 0.856, G_L1: 2.428, D_real: 1.050, D_fake: 0.564

[Rank 0] (epoch: 26, iters: 1000, time: 0.016, data: 0.003) , G_GAN: 0.998, G_L1: 2.676, D_real: 0.507, D_fake: 0.502

[Rank 0] (epoch: 27, iters: 200, time: 0.004, data: 0.439) , G_GAN: 0.976, G_L1: 2.530, D_real: 0.459, D_fake: 0.609

[Rank 0] (epoch: 27, iters: 400, time: 0.015, data: 0.005) , G_GAN: 1.086, G_L1: 2.769, D_real: 0.493, D_fake: 0.565

[Rank 0] (epoch: 27, iters: 600, time: 0.004, data: 0.001) , G_GAN: 0.714, G_L1: 2.284, D_real: 0.717, D_fake: 0.710

[Rank 0] (epoch: 27, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.767, G_L1: 3.044, D_real: 0.961, D_fake: 0.510

[Rank 0] (epoch: 27, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.739, G_L1: 2.544, D_real: 0.734, D_fake: 0.741

[Rank 0] (epoch: 28, iters: 200, time: 0.077, data: 0.474) , G_GAN: 0.805, G_L1: 2.912, D_real: 0.868, D_fake: 0.602

[Rank 0] (epoch: 28, iters: 400, time: 0.004, data: 0.001) , G_GAN: 0.862, G_L1: 2.361, D_real: 0.370, D_fake: 0.863

[Rank 0] (epoch: 28, iters: 600, time: 0.003, data: 0.003) , G_GAN: 0.684, G_L1: 2.165, D_real: 0.758, D_fake: 0.823

[Rank 0] (epoch: 28, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.791, G_L1: 2.527, D_real: 1.091, D_fake: 0.921

[Rank 0] (epoch: 28, iters: 1000, time: 0.017, data: 0.001) , G_GAN: 0.767, G_L1: 2.324, D_real: 0.900, D_fake: 0.617

[Rank 0] (epoch: 29, iters: 200, time: 0.004, data: 0.438) , G_GAN: 0.944, G_L1: 2.352, D_real: 0.460, D_fake: 0.619

[Rank 0] (epoch: 29, iters: 400, time: 0.017, data: 0.005) , G_GAN: 0.843, G_L1: 3.031, D_real: 0.422, D_fake: 0.714

[Rank 0] (epoch: 29, iters: 600, time: 0.003, data: 0.001) , G_GAN: 1.223, G_L1: 3.328, D_real: 0.250, D_fake: 0.556

[Rank 0] (epoch: 29, iters: 800, time: 0.003, data: 0.003) , G_GAN: 1.119, G_L1: 2.545, D_real: 0.234, D_fake: 0.594

[Rank 0] (epoch: 29, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.688, G_L1: 3.352, D_real: 0.920, D_fake: 0.821

[Rank 0] (epoch: 30, iters: 200, time: 0.018, data: 0.440) , G_GAN: 0.764, G_L1: 2.014, D_real: 0.740, D_fake: 0.766

[Rank 0] (epoch: 30, iters: 400, time: 0.003, data: 0.002) , G_GAN: 0.718, G_L1: 2.768, D_real: 0.759, D_fake: 0.683

[Rank 0] (epoch: 30, iters: 600, time: 0.003, data: 0.003) , G_GAN: 1.021, G_L1: 3.757, D_real: 0.397, D_fake: 0.731

[Rank 0] (epoch: 30, iters: 800, time: 0.004, data: 0.003) , G_GAN: 1.015, G_L1: 1.620, D_real: 0.741, D_fake: 0.533

[Rank 0] (epoch: 30, iters: 1000, time: 0.015, data: 0.003) , G_GAN: 0.849, G_L1: 2.820, D_real: 0.892, D_fake: 0.525

[Rank 0] (epoch: 31, iters: 200, time: 0.003, data: 0.452) , G_GAN: 0.755, G_L1: 2.010, D_real: 0.754, D_fake: 0.694

[Rank 0] (epoch: 31, iters: 400, time: 0.017, data: 0.003) , G_GAN: 0.684, G_L1: 2.024, D_real: 1.084, D_fake: 0.609

[Rank 0] (epoch: 31, iters: 600, time: 0.004, data: 0.002) , G_GAN: 1.591, G_L1: 2.997, D_real: 0.288, D_fake: 0.342

[Rank 0] (epoch: 31, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.713, G_L1: 1.915, D_real: 0.976, D_fake: 0.722

[Rank 0] (epoch: 31, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 1.034, G_L1: 2.989, D_real: 0.803, D_fake: 0.404

[Rank 0] (epoch: 32, iters: 200, time: 0.016, data: 0.450) , G_GAN: 0.825, G_L1: 2.202, D_real: 0.683, D_fake: 0.585

[Rank 0] (epoch: 32, iters: 400, time: 0.003, data: 0.002) , G_GAN: 1.166, G_L1: 3.092, D_real: 0.302, D_fake: 0.473

[Rank 0] (epoch: 32, iters: 600, time: 0.004, data: 0.002) , G_GAN: 1.122, G_L1: 3.132, D_real: 0.288, D_fake: 0.597

[Rank 0] (epoch: 32, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.925, G_L1: 3.117, D_real: 1.250, D_fake: 0.335

[Rank 0] (epoch: 32, iters: 1000, time: 0.015, data: 0.003) , G_GAN: 1.010, G_L1: 2.438, D_real: 0.613, D_fake: 0.655

[Rank 0] (epoch: 33, iters: 200, time: 0.004, data: 0.501) , G_GAN: 0.588, G_L1: 2.739, D_real: 0.901, D_fake: 0.695

[Rank 0] (epoch: 33, iters: 400, time: 0.019, data: 0.002) , G_GAN: 1.208, G_L1: 2.076, D_real: 0.434, D_fake: 0.451

[Rank 0] (epoch: 33, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.720, G_L1: 2.953, D_real: 0.623, D_fake: 0.725

[Rank 0] (epoch: 33, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.871, G_L1: 1.802, D_real: 0.756, D_fake: 0.488

[Rank 0] (epoch: 33, iters: 1000, time: 0.004, data: 0.002) , G_GAN: 0.865, G_L1: 2.715, D_real: 0.984, D_fake: 0.517

[Rank 0] (epoch: 34, iters: 200, time: 0.017, data: 0.457) , G_GAN: 0.620, G_L1: 2.015, D_real: 0.598, D_fake: 0.805

[Rank 0] (epoch: 34, iters: 400, time: 0.003, data: 0.004) , G_GAN: 0.813, G_L1: 3.268, D_real: 0.266, D_fake: 0.814

[Rank 0] (epoch: 34, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.791, G_L1: 2.244, D_real: 0.623, D_fake: 0.630

[Rank 0] (epoch: 34, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.830, G_L1: 2.062, D_real: 1.140, D_fake: 0.497

[Rank 0] (epoch: 34, iters: 1000, time: 0.017, data: 0.002) , G_GAN: 0.798, G_L1: 2.259, D_real: 0.751, D_fake: 0.495

[Rank 0] (epoch: 35, iters: 200, time: 0.003, data: 0.648) , G_GAN: 0.816, G_L1: 2.191, D_real: 0.650, D_fake: 0.606

[Rank 0] (epoch: 35, iters: 400, time: 0.014, data: 0.002) , G_GAN: 0.693, G_L1: 2.268, D_real: 0.650, D_fake: 0.945

[Rank 0] (epoch: 35, iters: 600, time: 0.003, data: 0.002) , G_GAN: 0.656, G_L1: 2.421, D_real: 1.158, D_fake: 0.585

[Rank 0] (epoch: 35, iters: 800, time: 0.003, data: 0.004) , G_GAN: 1.068, G_L1: 2.715, D_real: 0.802, D_fake: 0.658

[Rank 0] (epoch: 35, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.871, G_L1: 2.965, D_real: 1.262, D_fake: 0.570

[Rank 0] (epoch: 36, iters: 200, time: 0.015, data: 0.640) , G_GAN: 0.865, G_L1: 1.843, D_real: 0.986, D_fake: 0.534

[Rank 0] (epoch: 36, iters: 400, time: 0.003, data: 0.004) , G_GAN: 0.983, G_L1: 2.359, D_real: 0.595, D_fake: 0.537

[Rank 0] (epoch: 36, iters: 600, time: 0.004, data: 0.002) , G_GAN: 0.904, G_L1: 2.466, D_real: 1.114, D_fake: 0.471

[Rank 0] (epoch: 36, iters: 800, time: 0.004, data: 0.003) , G_GAN: 0.908, G_L1: 2.265, D_real: 0.609, D_fake: 0.600

